"Names","Date","Quotes"
"Shinjinee Majumder","9th February 202410th February 2024","Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X"
"Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair","5th February 2024","Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’"
"Oishani Bhattacharya","27th January 2024","Viral ‘exclusive’ video of Virat Kohli at Ram Mandir consecration is actually an old clip from a Ganesh Chaturthi event"
"Shinjinee Majumder","23rd January 202425th January 2024","Burj Khalifa photos with Hindu deity Ram’s image projected on it are edited"
"Shinjinee Majumder","20th January 2024","Fight over ‘Akshata’ distribution injures 4 in Karnataka; Rahul Shivshankar calls it ‘Hindumesia’ in misleading tweet"
"Oishani Bhattacharya","19th January 202419th January 2024","An MBA from Australia, Neha Patel now leads violent cow-vigilantes in Gujarat"
"Priyanka Jha","10th February 202410th February 2024","Bangladeshi short film scenes shared to claim sexual abuse in Indian madrasas"
"Kalim Ahmed","10th February 2024","Viral video: Doctor sexually assaulting patient is Giovanni Quintella Bezerra from Brazil, not ‘Islam Mohammad’"
"Shinjinee Majumder","10th February 202410th February 2024","Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X"
"Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair","9th February 20249th February 2024","Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’"
"Shinjinee Majumder","6th February 2024","Kharge did not ‘admit defeat’ by acceding 400 seats to BJP; clipped video shared by Union ministers"
"Shinjinee Majumder","3rd February 2024","Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it"
"Archit","-","Misleading video claiming dry ginger can cure Omicron is scientifically baseless"
"Kinjal","-","Magical stone melting metal nails? No, the nails are made of gallium"
"Archit","-","Fake chart shows COVID-19 variant “timeline” predicting release dates"
"by Abhishek Kumar","-","Flag row in Karanatka’s Mandya: How ANI misled its audience by using state BJP chief’s erroneous statement"
"by Abhishek Kumar","-","No, Chinese leader Xi Jinping did not thank Rahul Gandhi, fake Global Times tweet viral"
"by Abhishek Kumar","-","Video of BJP’s Lavingji Thakor cleaning temple premises shared with false claims"
"by Abhishek Kumar","-","Darbhanga land dispute falsely reported as case of forced religious conversion, viral with communal spin"
"by Oishani Bhattacharya","-","Karnataka SSLC exam: Paper scheduled in 2nd half on Friday to avoid clash with pre-uni test; BJP sees ‘appeasement’"
"by Shinjinee Majumder","-","Kharge did not ‘admit defeat’ by acceding 400 seats to BJP; clipped video shared by Union ministers"
