"Names","Title","Description","Footer"
"-","What special counsel said about Biden’s ‘willful retention’","-","By Louis Jacobson • February 9, 2024"
"Tammy Baldwin","“Wisconsin had over 1,400 opioid overdose deaths in 2022.”","stated on January 21, 2024 in X, formerly Twitter:","-"
"Elon Musk","Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”","stated on February 2, 2024 in an X post:","-"
"Facebook posts","""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".","stated on January 11, 2024 in una publicación en Facebook:","-"
"Instagram posts","""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.","stated on January 26, 2024 in an Instagram post:","-"
"Donald Trump","In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""","stated on February 5, 2024 in an appearance on Dan Bongino's show:","-"
"Tammy Baldwin","“Wisconsin had over 1,400 opioid overdose deaths in 2022.”","stated on January 21, 2024 in X, formerly Twitter:","-"
"Elon Musk","Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”","stated on February 2, 2024 in an X post:","-"
"Joe Biden","On classified documents in his possession, “none of it was high classified.”","stated on February 8, 2024 in a speech","By Maria Ramirez Uribe • February 9, 2024"
"Instagram posts","King Charles’ cancer diagnosis is linked to mRNA cancer therapy trial in U.K.","stated on February 8, 2024 in an Instagram post","By Loreben Tuquero • February 9, 2024"
"Instagram posts","Paper shows “mRNA COVID-19 vaccines caused more deaths” than lives saved.","stated on February 4, 2024 in an Instagram post","By Sara Swann • February 9, 2024"
"Donald Trump","“I cooperated far more” than Joe Biden in the classified documents investigations.","stated on February 8, 2024 in a statement to the media","By Amy Sherman • February 9, 2024"
"Instagram posts","""Ukraine puts Tucker Carlson on a ‘hit list’ after an interview with Vladimir Putin.”","stated on February 7, 2024 in an Instagram post","By Jeff Cercone • February 9, 2024"
"Facebook posts","""NYC to give ILLEGALS $53 Million in Prepaid Credit Cards.""","stated on February 2, 2024 in A Facebook post","By Kwasi Gyamfi Asiedu • February 9, 2024"
"Instagram posts","In an interview with Tucker Carlson, Russian President Vladimir Putin said he finds the U.S.-Mexico border issue “ironically amusing.”","stated on February 6, 2024 in an Instagram post","By Sara Swann • February 9, 2024"
"TikTok posts","""El Senado de EE. UU. ha dado luz verde a un acuerdo que cierra inmediatamente las fronteras del país y limitará todas las peticiones de asilo y apelaciones”.","stated on February 5, 2024 in en una publicación en TikTok","By Maria Briceño • February 9, 2024"
"Robin Vos","“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”","stated on January 7, 2024 in TV interview","By D.L. Davis • February 9, 2024"
"Viral image","Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”","stated on February 6, 2024 in a Facebook post","By Grace Abels • February 8, 2024"
"Joe Biden","Forgive student loan debt from public colleges and universities","","Biden unveils new round of incremental student loan relief
| October 10, 2023"
"Joe Biden","Increase refugee admissions","","Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023"
"Joe Biden","Expand broadband, or wireless broadband via 5G, to every American","","Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023"
"Joe Biden","Expand Justice Department power to address police misconduct","","Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023"
"Joe Biden","Use a national commission to address policing issues","","Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023"
"Elon Musk","Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”","stated on February 2, 2024 in an X post","By Amy Sherman • February 6, 2024"
"Facebook posts","""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".","stated on January 11, 2024 in una publicación en Facebook","By Marta Campabadal Graus • February 6, 2024"
"Instagram posts","""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.","stated on January 26, 2024 in an Instagram post","By Jeff Cercone • February 6, 2024"
"Donald Trump","In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""","stated on February 5, 2024 in an appearance on Dan Bongino's show","By Louis Jacobson • February 6, 2024"
"Tammy Baldwin","“Wisconsin had over 1,400 opioid overdose deaths in 2022.”","stated on January 21, 2024 in X, formerly Twitter","By Laura Schulte • February 6, 2024"
,"3 conspiracy theories Putin promoted in his Tucker Carlson interview that Carlson didn’t challenge",,"By Jeff Cercone • February 9, 2024"
,"Fact-checking Joe Biden about sharing classified materials, keeping them in lockable cabinets",,"By Grace Abels • February 9, 2024"
,"Biden classified documents: What special counsel report says about ‘willful retention’",,"By Louis Jacobson • February 9, 2024"
,"Biden won’t be charged in classified documents case, but special counsel report questions his memory",,"By Louis Jacobson • February 9, 2024"
,"U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know",,"By Louis Jacobson • February 8, 2024"
,"We want to be more transparent with you about our fact-checking. Here’s how",,"By Ellen Hine • February 8, 2024"
,"Sen. Chris Murphy said ‘the border never closes.’ What does that mean?",,"By Samantha Putterman • February 7, 2024"
,"As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic",,"By Maria Ramirez Uribe • February 7, 2024"
,"Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?",,"By Samantha Putterman • February 6, 2024"
,"Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory",,"By Madison Czopek • February 2, 2024"
,"Joe Biden",,"-"
,"Citizens for Sanity",,"-"
,"Jeh Johnson",,"-"
,"Francis Suarez",,"-"
,"Donald Trump",,"-"
,"Posts misrepresent the status of a bill that could disqualify Trump from the ballot in Hawaii",,"By Associated Press • February 8, 2024"
,"Trump says Jan. 6 was ‘an insurrection caused by Nancy Pelosi’",,"By CNN • February 8, 2024"
,"Vehicles contribute fewer emissions than gasoline-powered cars over their lifetimes",,"By FactCheck.org • February 8, 2024"
,"No evidence to link UK excess deaths to COVID-19 vaccines",,"By Reuters • February 7, 2024"
,"Is gun violence really the leading cause of death for children?",,"By Washington Post FactChecker • February 7, 2024"
